Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
Mumbai,Healthy foods,Startup Founder(Product-based),"Health Tech, Food Tech","Sales, Product Development",MVP (proof of concept is out with select customers),,Nothing in particular,Connections
MUMBAI,"Born in city of joy settled in city of dreams living my dreams. An eco hons and MBA now own run a boardgames cafe called PAIR A DICE CAFE in oshiwara Andheri west. Its a non digital entertainment zone with fresh veggie delights.
I loved boardgames, travelling, dancing, workout, keeping myself motivated and others too. And i love maths and accounts. ","Post-Graduate Student, Startup Founder (Service-based)",Food Tech,"Sales, Product Development, Product Design, Community building","Growth (multiple customer, positive revenue, making profits)",,Hi.. Nothing specific as such.. But yes networking and you never know what comes your way.. New idea collaboration.. Anything ,I am good at motivating n finding solutions rather than stressing on problems. 
Mumbai,"I have a diverse experience of 23 years across industries as divergent as telecom, real estate , media , Multi level marketing and retail in sales , operation , marketing , training, and P and L handling  I am blogger , motivational speaker and  writer .",Working Professional,"Health Tech, VR, AI","Operations, Sales, Digital Marketing, Community building",Ideation (brainstorming around few ideas),,Engaging and participating to learn ,"Motivational lectures, people management , marketing plans Sales process sharing These are my strong areas "
Navi Mumbai,"Rakshita Dwivedi is founder of Recipe Dabba which empowers families with healthy choices. Recipe Dabba as a concept has won many awards since last two years of its inception and few are Orange Flower Award, Made by Her Award and very recent Homeprenuer Award. Prior to Recipe Dabba happening Rakshita worked in Corporate HR space of over a decade and she happens to be a mom of a 7 year old who also is his inspiration and motivation for her healthy and wholesome food venture. 
My interests revolve around writing and ideating :)",Startup Founder (Service-based),Food Tech,Community building,MVP (proof of concept is out with select customers),,Mentoring on current Idea and bottlenecks,Sharing my experiences and in community development
Mumbai ,Travelling ,Freelancer,"Health Tech, Food Tech",Operations,Early Growth (seeking seed/angel funding),,To grow my business at a faster rate,By collaborating 
Bhandup - Mumbai,"Educationalist , love meeting people and share thoughts . ",Startup Founder (Service-based),Education ,Administration ,"Growth (multiple customer, positive revenue, making profits)",,Like minded entrepreneurs and investors,Refer them further to friends share my experiences and help them grow .
"Mulund, Mumbai ",Doctor and constantly evolving entrepreneur. Founder and medical director of aesthetic clinic Skinsense ,Startup Founder (Service-based),Health Tech,"Sales, Digital Marketing, Innovation ","Growth (multiple customer, positive revenue, making profits)",,Not yet,"Can mentor start-ups up-to 3 years and help with teething troubles
Can help get out of business operator mentality "
Mumbai,"M a fashion designer.. Running my fashion store from past 15 yrs... Recently I started up a multidesigner store showcasing other designer labels, fashion jewelry and shoe... ",Startup Founder(Product-based),Fashion nd lifestyle,Dress designing,Ideation (brainstorming around few ideas),,I need guidance nd knowledge of retail sales nd management skills as m a creative person.. Need to learn more on business... ,I have a personal experience of more than 15 yrs in personal client management which I do for my fashion store... May be I can share my experience about all this... 
Pune,"I am a Google PPC expert & Social Media Consultant, I handle a Digital Marketing agency. Apart from a Digital Marketer I am a part time musician & has a band, I am fitness enthusiast & enjoy travelling.","Startup Founder (Service-based), Freelancer",Digital Marketing,"Sales, Digital Marketing",Ideation (brainstorming around few ideas),digital marketingg expert and pushconnect,"Yes, client base & people interested in partnership","I can help push starters by promoting it online, create an online strategy & designs for them "
GHATKOPAR Mumbai ,I m exhibition organizer of Fashion Trend lifestyle Exhibition ,Freelancer,Fin Tech,Community building,"Growth (multiple customer, positive revenue, making profits)",,Want new exhibitors ,Connect them
Mumbai ,"A Doctor by profession, entrepreneur by passion. 
My interests are Preventive and Diagnostic healthcare and Emergency Care.","Startup Founder(Product-based), Startup Founder (Service-based), Working Professional",Health Tech,Operations,MVP (proof of concept is out with select customers),,"Networking 
","Collaborations
"
Gurugram,Willing to start my own but don't know how to start,Working Professional,"Agri Tech, Health Tech, AI","Product Development, Software",Ideation (brainstorming around few ideas),,Yes i want to talk about my idea and Don't have any idea about how to start or how to think further,By mentoring
NAGPUR,"Technology, Coding, Website development, Data Science, Entrepreneurship","Startup Founder(Product-based), Freelancer",Lean Manufacturing,Product Development,Ideation (brainstorming around few ideas),,Network,Technology
Mumbai,Entrepreneurship,"Under-Graduate Student, Freelancer","Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain","Sales, Product Development, Product Design, Community building",Ideation (brainstorming around few ideas),,Networking,"Networking, brainstorming, Marketing "
Pune,"I'm an engineer experienced in entrepreneurship, hardware, software and web tech.. I'm interested in science and technology entrepreneurship.",Startup Founder(Product-based),"EdTech, Media and Entertainment","Product Development, Product Design, Digital Marketing",MVP (proof of concept is out with select customers),filmaking expert & investor,"Idea validation, team building and funding guidance.",Providing knowledge and connections.
Pune,I'm currently working as a Data Scientist and would like to meet with the like minded people and know about the advancement in the society.,Working Professional,AI,Data science ,Don't have a startup,NA,Na,"With the relevant job postings that I come across, I try to share with fellow pushstarters."
