,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
262,tried two businesses  one in college one after wards shut both off now have a training  consulting firm on design thinking businesses models entrepreneurial mindset etc icf approved business relationship coach also working on a social enterprise right now at conceptualisation stage also a faculty for entrepreneurship at symbiosis  head of entrepreneurship  innovation cell,Startup Founder (Service-based),Ideation (brainstorming around few ideas),,Connections. Business contacts. Guidance /inputs on the social enterprise idea I am working on. ,"Have been mentoring some early stage startups. Am a startup mentor at Atal Incubation Centre established by NITI AAYOG at RTNU Bhopal. I can help with the training /consulting /coaching needs related to Business Model, Design Thinking, Business Relationship. Also help with interns for early stage startups. ",Noida,,Design Thinking, Busines Model Innovation, Business Relationship Coaching ,,,Learning & Development, Education, Design Thinking ,,,,,,
263,exports ecommerce trading,Startup Founder(Product-based),Ideation (brainstorming around few ideas),,Promote my brand of coffee,"Word of mouth, Consumption, connects",Mumbai,,Operations, Sales,,,,Agri Trade,,,,,,,,
264,techie by heart,"Startup Founder(Product-based), Working Professional",Early Growth (seeking seed/angel funding),,No,Networking and pdt Dev help,Pune,,Product Development,,,,,Fin Tech, AI,,,,,,,
265,automobile passionate interest in sales and ops,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,Pushtalent is an imaging plateform,I can help in sales and operations ,@gurugram,,Operations, Sales, Product Development,,,Service,,,,,,,,
266,i am cofounder at recast studio my area of interests are prodcut development social media marketing technology,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),,"Product feedback, Networking",I can help the others to plan their product development and choose the right technology for the right work,INDORE,,Operations, Product Development,,,,Web developement, Product developement, ,,,,,,
267,cloud ai entrepreneurship mindful awareness,"Startup Founder(Product-based), Startup Founder (Service-based), Angel Investor",Early Growth (seeking seed/angel funding),pushconnect,Networking,Mentoring how to build teams ,Pune,,Sales, Product Development, Product Design, Digital Marketing,,AI, Cloud,,,,,,,
268,a sports enthusiast with love of food loce reading and having logical conversation have started loving the idea if entrepreneurship from past few years i love book and the need to collect them is also a thing for me,Startup Founder(Product-based),Ideation (brainstorming around few ideas),,Networking and connecting with like minded people. ,"My connectios, expertise in my area. ",Thane West,,Operations, Sales, Product Design, Digital Marketing, Community building,Agri Tech, Food Tech,,,,,,,
269,startups new ideas tech,"Startup Founder (Service-based), Working Professional, Mentor","Growth (multiple customer, positive revenue, making profits)",pushconnect,Networking with great minds,Learn and share experience,Viman nagar, Pune,Operations, Product Development, Product Design,,,Fin Tech, Health Tech, AR, AI, Blockchain,,,,
270,i am harshal graduated last year i have been part of nagpur startup group from past 3 years and also part of tie nagpur community from 3 years currently running a startup in stem education and robotics field,"Under-Graduate Student, Working Professional",MVP (proof of concept is out with select customers),stem & robotics expert,Yess. As we are a product company and we want to take to to mass scale. I would appreciate the help in mentoring and to share contacts as for production point of view and also STEM content point of view,I can help with my contacts here in Pune and as well in Nagpur as I am part of Nagpur startup and Tie Nagpur.,Sinhagad road, Pune,Product Development, Product Design,,,,Product Design,,,,,,,,
271,fullstack developer and co founder at recast studio,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),,"Product feedback, Connections, Startup fundas","I can help on technical front, Anything related to django, python, rails, reactjs angular",Hadapsar, Pune,Product Development,,,,,AI,,,,,,,,
272,startup strategist thinking rationalist diehard optimist animal lover avid golfer father family man and now founding ceo of the makers of the finest fruit spreads in india,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),expert in logistics,Distribution,I am a startup consultant with multiple startups under my belt.,Pune,,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building, Running a P&L",Food Manufacturing,,,,,,,,
273,i am a lawyer tirned community head i am properly from nagpur now based in pune i work at the daftar taking care of smooth running and upkeep of the spacei like networking learning new things and working,Working Professional,Early Growth (seeking seed/angel funding),marketing expert,Networking and Visibility.,By connecting them with relevant people in ecosystem,Baner, Pune,Operations, Sales, Community building,,,Service / coworking industry ,,,,,,,,
274,a parallel entrepreneur have always run 2 or more companies together last 20 years profesional interests  mentor startups connect entrepreneurs partner with companies on a win win strategies personal interests  explore new locations walking trekking cycling,"Startup Founder(Product-based), Startup Founder (Service-based), Mentor","Growth (multiple customer, positive revenue, making profits)",graphic designing & content writing expert,"Connections
Product Idea Validation ","Mentor
Validate ideas
Offer connects",Pune,,Operations, Sales, Product Development,,,VR, AR, Design ,,,,,,
275,digital analytics and marketing technologies,"Startup Founder(Product-based), Startup Founder (Service-based)","Growth (multiple customer, positive revenue, making profits)",pushconnect & whatsapp,"Networking for business growth prospects, customer acquisition","Share domain and subject matter expertise in areas of analytics and marketing technologies, mentor early stage start ups",Pune,,Sales, Digital Marketing, Customer and Marketing Analytics,,,AI, Analytics, Machine Learning,,,,,,
276,interested in digital marketing and ecommerce,"Startup Founder (Service-based), Working Professional","Growth (multiple customer, positive revenue, making profits)",growth hacking expert,Love to get ideas on business growth.,Can help with digital marketing strategies. ,Hinjewadi, Pune,Operations, Digital Marketing,,,,Food Tech, AI,,,,,,,
277,i am an undergraduate at iitbhu varanasi presently in my 3rd yeari am very active in college and am presently into e cell and into core team of alumni cellin my last summer i interned in a pune based startup and previously in an industry based in punei have plans to start up a company on technologies such as blockchain iot ai after my graduation and have also tried a startup at my college,"Under-Graduate Student, Startup Founder (Service-based)",Worked on my startup for 3 months but changed my priorities later but planning for a new startup soon. ,"blockchain, iot expert","Networking, Mentorship on specific areas.","I can contribute to projects of which I have skills, I can help in connecting other Pushstarters to relevant connections since I am a localite of Pune and very well versed with the city demographics. Also, may help other Pushstarters for mentorship on areas in which I have interned or have worked on.",Pune: Origin, Varanasi currently,Operations, Sales,,,,Marketing, Sales, Operation,,,,,,
278,an undergraduate management student from symbiosis with keen interest in business entrepreneurship and believer of power of networking,Under-Graduate Student,Don't have a startup,,"I plan to start my own start up very soon. So, pushstart is helping me to get acquainted with current scenario and business environment. 
Just a lot of opportunities and expert guidance on any topic.

I expect to make a lots of professional and business relationships. Nothing more, nothing less","Even though I don't have any company right now, i do have a good network and I plan to refer people and help others.",Pune,,Sales, Digital Marketing,,,,FMCG, Advertising.,,,,,,,
